qid,class_name,label
1,grounded,0
1,hallucinated,1
2,grounded,0
2,hallucinated,1
4,grounded,0
4,hallucinated,1
5,grounded,0
5,hallucinated,1
6,grounded,0
6,hallucinated,1
7,grounded,0
7,hallucinated,1
9,grounded,0
9,hallucinated,1
11,grounded,0
11,hallucinated,1
13,grounded,0
13,hallucinated,1
15,grounded,0
15,hallucinated,1
16,grounded,0
16,hallucinated,1
18,grounded,0
18,hallucinated,1
21,grounded,0
21,hallucinated,1
22,grounded,0
22,hallucinated,1
24,grounded,0
24,hallucinated,1
25,grounded,0
25,hallucinated,1
26,grounded,0
26,hallucinated,1
27,grounded,0
27,hallucinated,1
28,grounded,0
28,hallucinated,1
30,grounded,0
30,hallucinated,1
32,grounded,0
32,hallucinated,1
34,grounded,0
34,hallucinated,1
38,grounded,0
38,hallucinated,1
40,grounded,0
40,hallucinated,1
41,grounded,0
41,hallucinated,1
42,grounded,0
42,hallucinated,1
43,grounded,0
43,hallucinated,1
44,grounded,0
44,hallucinated,1
45,grounded,0
45,hallucinated,1
46,grounded,0
46,hallucinated,1
48,grounded,0
48,hallucinated,1
49,grounded,0
49,hallucinated,1
51,grounded,0
51,hallucinated,1
52,grounded,0
52,hallucinated,1
53,grounded,0
53,hallucinated,1
54,grounded,0
54,hallucinated,1
55,grounded,0
55,hallucinated,1
56,grounded,0
56,hallucinated,1
57,grounded,0
57,hallucinated,1
60,grounded,0
60,hallucinated,1
61,grounded,0
61,hallucinated,1
62,grounded,0
62,hallucinated,1
63,grounded,0
63,hallucinated,1
64,grounded,0
64,hallucinated,1
65,grounded,0
65,hallucinated,1
66,grounded,0
66,hallucinated,1
67,grounded,0
67,hallucinated,1
68,grounded,0
68,hallucinated,1
69,grounded,0
69,hallucinated,1
70,grounded,0
70,hallucinated,1
71,grounded,0
71,hallucinated,1
72,grounded,0
72,hallucinated,1
73,grounded,0
73,hallucinated,1
74,grounded,0
74,hallucinated,1
75,grounded,0
75,hallucinated,1
77,grounded,0
77,hallucinated,1
78,grounded,0
78,hallucinated,1
79,grounded,0
79,hallucinated,1
81,grounded,0
81,hallucinated,1
82,grounded,0
82,hallucinated,1
83,grounded,0
83,hallucinated,1
84,grounded,0
84,hallucinated,1
85,grounded,0
85,hallucinated,1
86,grounded,0
86,hallucinated,1
87,grounded,0
87,hallucinated,1
89,grounded,0
89,hallucinated,1
90,grounded,0
90,hallucinated,1
91,grounded,0
91,hallucinated,1
94,grounded,0
94,hallucinated,1
97,grounded,0
97,hallucinated,1
98,grounded,0
98,hallucinated,1
99,grounded,0
99,hallucinated,1
100,grounded,0
100,hallucinated,1
102,grounded,0
102,hallucinated,1
104,grounded,0
104,hallucinated,1
105,grounded,0
105,hallucinated,1
109,grounded,0
109,hallucinated,1
110,grounded,0
110,hallucinated,1
111,grounded,0
111,hallucinated,1
112,grounded,0
112,hallucinated,1
113,grounded,0
113,hallucinated,1
114,grounded,0
114,hallucinated,1
115,grounded,0
115,hallucinated,1
116,grounded,0
116,hallucinated,1
117,grounded,0
117,hallucinated,1
118,grounded,0
118,hallucinated,1
120,grounded,0
120,hallucinated,1
121,grounded,0
121,hallucinated,1
122,grounded,0
122,hallucinated,1
123,grounded,0
123,hallucinated,1
124,grounded,0
124,hallucinated,1
125,grounded,0
125,hallucinated,1
126,grounded,0
126,hallucinated,1
127,grounded,0
127,hallucinated,1
128,grounded,0
128,hallucinated,1
129,grounded,0
129,hallucinated,1
130,grounded,0
130,hallucinated,1
133,grounded,0
133,hallucinated,1
134,grounded,0
134,hallucinated,1
136,grounded,0
136,hallucinated,1
137,grounded,0
137,hallucinated,1
138,grounded,0
138,hallucinated,1
139,grounded,0
139,hallucinated,1
140,grounded,0
140,hallucinated,1
141,grounded,0
141,hallucinated,1
142,grounded,0
142,hallucinated,1
143,grounded,0
143,hallucinated,1
145,grounded,0
145,hallucinated,1
146,grounded,0
146,hallucinated,1
147,grounded,0
147,hallucinated,1
148,grounded,0
148,hallucinated,1
150,grounded,0
150,hallucinated,1
151,grounded,0
151,hallucinated,1
152,grounded,0
152,hallucinated,1
153,grounded,0
153,hallucinated,1
154,grounded,0
154,hallucinated,1
155,grounded,0
155,hallucinated,1
156,grounded,0
156,hallucinated,1
158,grounded,0
158,hallucinated,1
159,grounded,0
159,hallucinated,1
160,grounded,0
160,hallucinated,1
161,grounded,0
161,hallucinated,1
162,grounded,0
162,hallucinated,1
163,grounded,0
163,hallucinated,1
164,grounded,0
164,hallucinated,1
165,grounded,0
165,hallucinated,1
166,grounded,0
166,hallucinated,1
167,grounded,0
167,hallucinated,1
168,grounded,0
168,hallucinated,1
170,grounded,0
170,hallucinated,1
171,grounded,0
171,hallucinated,1
172,grounded,0
172,hallucinated,1
173,grounded,0
173,hallucinated,1
174,grounded,0
174,hallucinated,1
175,grounded,0
175,hallucinated,1
176,grounded,0
176,hallucinated,1
177,grounded,0
177,hallucinated,1
178,grounded,0
178,hallucinated,1
179,grounded,0
179,hallucinated,1
180,grounded,0
180,hallucinated,1
181,grounded,0
181,hallucinated,1
182,grounded,0
182,hallucinated,1
183,grounded,0
183,hallucinated,1
184,grounded,0
184,hallucinated,1
186,grounded,0
186,hallucinated,1
187,grounded,0
187,hallucinated,1
188,grounded,0
188,hallucinated,1
189,grounded,0
189,hallucinated,1
190,grounded,0
190,hallucinated,1
191,grounded,0
191,hallucinated,1
192,grounded,0
192,hallucinated,1
193,grounded,0
193,hallucinated,1
194,grounded,0
194,hallucinated,1
195,grounded,0
195,hallucinated,1
196,grounded,0
196,hallucinated,1
197,grounded,0
197,hallucinated,1
198,grounded,0
198,hallucinated,1
199,grounded,0
199,hallucinated,1
200,grounded,0
200,hallucinated,1
201,grounded,0
201,hallucinated,1
202,grounded,0
202,hallucinated,1
203,grounded,0
203,hallucinated,1
204,grounded,0
204,hallucinated,1
205,grounded,0
205,hallucinated,1
206,grounded,0
206,hallucinated,1
207,grounded,0
207,hallucinated,1
208,grounded,0
208,hallucinated,1
209,grounded,0
209,hallucinated,1
210,grounded,0
210,hallucinated,1
213,grounded,0
213,hallucinated,1
214,grounded,0
214,hallucinated,1
215,grounded,0
215,hallucinated,1
216,grounded,0
216,hallucinated,1
218,grounded,0
218,hallucinated,1
219,grounded,0
219,hallucinated,1
220,grounded,0
220,hallucinated,1
223,grounded,0
223,hallucinated,1
224,grounded,0
224,hallucinated,1
225,grounded,0
225,hallucinated,1
226,grounded,0
226,hallucinated,1
227,grounded,0
227,hallucinated,1
228,grounded,0
228,hallucinated,1
229,grounded,0
229,hallucinated,1
230,grounded,0
230,hallucinated,1
231,grounded,0
231,hallucinated,1
232,grounded,0
232,hallucinated,1
234,grounded,0
234,hallucinated,1
235,grounded,0
235,hallucinated,1
236,grounded,0
236,hallucinated,1
237,grounded,0
237,hallucinated,1
238,grounded,0
238,hallucinated,1
240,grounded,0
240,hallucinated,1
241,grounded,0
241,hallucinated,1
242,grounded,0
242,hallucinated,1
243,grounded,0
243,hallucinated,1
244,grounded,0
244,hallucinated,1
246,grounded,0
246,hallucinated,1
247,grounded,0
247,hallucinated,1
249,grounded,0
249,hallucinated,1
250,grounded,0
250,hallucinated,1
253,grounded,0
253,hallucinated,1
254,grounded,0
254,hallucinated,1
255,grounded,0
255,hallucinated,1
256,grounded,0
256,hallucinated,1
257,grounded,0
257,hallucinated,1
258,grounded,0
258,hallucinated,1
260,grounded,0
260,hallucinated,1
261,grounded,0
261,hallucinated,1
262,grounded,0
262,hallucinated,1
264,grounded,0
264,hallucinated,1
266,grounded,0
266,hallucinated,1
268,grounded,0
268,hallucinated,1
269,grounded,0
269,hallucinated,1
270,grounded,0
270,hallucinated,1
271,grounded,0
271,hallucinated,1
272,grounded,0
272,hallucinated,1
273,grounded,0
273,hallucinated,1
275,grounded,0
275,hallucinated,1
276,grounded,0
276,hallucinated,1
277,grounded,0
277,hallucinated,1
278,grounded,0
278,hallucinated,1
279,grounded,0
279,hallucinated,1
280,grounded,0
280,hallucinated,1
281,grounded,0
281,hallucinated,1
282,grounded,0
282,hallucinated,1
283,grounded,0
283,hallucinated,1
284,grounded,0
284,hallucinated,1
285,grounded,0
285,hallucinated,1
287,grounded,0
287,hallucinated,1
288,grounded,0
288,hallucinated,1
289,grounded,0
289,hallucinated,1
293,grounded,0
293,hallucinated,1
294,grounded,0
294,hallucinated,1
295,grounded,0
295,hallucinated,1
296,grounded,0
296,hallucinated,1
297,grounded,0
297,hallucinated,1
298,grounded,0
298,hallucinated,1
299,grounded,0
299,hallucinated,1
300,grounded,0
300,hallucinated,1
301,grounded,0
301,hallucinated,1
302,grounded,0
302,hallucinated,1
305,grounded,0
305,hallucinated,1
306,grounded,0
306,hallucinated,1
307,grounded,0
307,hallucinated,1
308,grounded,0
308,hallucinated,1
309,grounded,0
309,hallucinated,1
310,grounded,0
310,hallucinated,1
312,grounded,0
312,hallucinated,1
313,grounded,0
313,hallucinated,1
314,grounded,0
314,hallucinated,1
317,grounded,0
317,hallucinated,1
319,grounded,0
319,hallucinated,1
320,grounded,0
320,hallucinated,1
322,grounded,0
322,hallucinated,1
324,grounded,0
324,hallucinated,1
325,grounded,0
325,hallucinated,1
326,grounded,0
326,hallucinated,1
327,grounded,0
327,hallucinated,1
328,grounded,0
328,hallucinated,1
329,grounded,0
329,hallucinated,1
331,grounded,0
331,hallucinated,1
332,grounded,0
332,hallucinated,1
336,grounded,0
336,hallucinated,1
337,grounded,0
337,hallucinated,1
338,grounded,0
338,hallucinated,1
339,grounded,0
339,hallucinated,1
340,grounded,0
340,hallucinated,1
341,grounded,0
341,hallucinated,1
342,grounded,0
342,hallucinated,1
343,grounded,0
343,hallucinated,1
344,grounded,0
344,hallucinated,1
345,grounded,0
345,hallucinated,1
348,grounded,0
348,hallucinated,1
350,grounded,0
350,hallucinated,1
351,grounded,0
351,hallucinated,1
352,grounded,0
352,hallucinated,1
354,grounded,0
354,hallucinated,1
355,grounded,0
355,hallucinated,1
356,grounded,0
356,hallucinated,1
357,grounded,0
357,hallucinated,1
358,grounded,0
358,hallucinated,1
359,grounded,0
359,hallucinated,1
361,grounded,0
361,hallucinated,1
362,grounded,0
362,hallucinated,1
363,grounded,0
363,hallucinated,1
364,grounded,0
364,hallucinated,1
365,grounded,0
365,hallucinated,1
366,grounded,0
366,hallucinated,1
368,grounded,0
368,hallucinated,1
369,grounded,0
369,hallucinated,1
370,grounded,0
370,hallucinated,1
371,grounded,0
371,hallucinated,1
372,grounded,0
372,hallucinated,1
373,grounded,0
373,hallucinated,1
374,grounded,0
374,hallucinated,1
375,grounded,0
375,hallucinated,1
377,grounded,0
377,hallucinated,1
378,grounded,0
378,hallucinated,1
380,grounded,0
380,hallucinated,1
382,grounded,0
382,hallucinated,1
383,grounded,0
383,hallucinated,1
384,grounded,0
384,hallucinated,1
385,grounded,0
385,hallucinated,1
386,grounded,0
386,hallucinated,1
387,grounded,0
387,hallucinated,1
389,grounded,0
389,hallucinated,1
390,grounded,0
390,hallucinated,1
391,grounded,0
391,hallucinated,1
392,grounded,0
392,hallucinated,1
395,grounded,0
395,hallucinated,1
396,grounded,0
396,hallucinated,1
397,grounded,0
397,hallucinated,1
398,grounded,0
398,hallucinated,1
399,grounded,0
399,hallucinated,1
401,grounded,0
401,hallucinated,1
402,grounded,0
402,hallucinated,1
403,grounded,0
403,hallucinated,1
404,grounded,0
404,hallucinated,1
405,grounded,0
405,hallucinated,1
406,grounded,0
406,hallucinated,1
407,grounded,0
407,hallucinated,1
409,grounded,0
409,hallucinated,1
411,grounded,0
411,hallucinated,1
412,grounded,0
412,hallucinated,1
413,grounded,0
413,hallucinated,1
414,grounded,0
414,hallucinated,1
415,grounded,0
415,hallucinated,1
417,grounded,0
417,hallucinated,1
418,grounded,0
418,hallucinated,1
419,grounded,0
419,hallucinated,1
420,grounded,0
420,hallucinated,1
421,grounded,0
421,hallucinated,1
422,grounded,0
422,hallucinated,1
423,grounded,0
423,hallucinated,1
424,grounded,0
424,hallucinated,1
425,grounded,0
425,hallucinated,1
426,grounded,0
426,hallucinated,1
428,grounded,0
428,hallucinated,1
429,grounded,0
429,hallucinated,1
430,grounded,0
430,hallucinated,1
431,grounded,0
431,hallucinated,1
432,grounded,0
432,hallucinated,1
433,grounded,0
433,hallucinated,1
434,grounded,0
434,hallucinated,1
435,grounded,0
435,hallucinated,1
436,grounded,0
436,hallucinated,1
437,grounded,0
437,hallucinated,1
438,grounded,0
438,hallucinated,1
441,grounded,0
441,hallucinated,1
442,grounded,0
442,hallucinated,1
443,grounded,0
443,hallucinated,1
444,grounded,0
444,hallucinated,1
445,grounded,0
445,hallucinated,1
446,grounded,0
446,hallucinated,1
448,grounded,0
448,hallucinated,1
449,grounded,0
449,hallucinated,1
451,grounded,0
451,hallucinated,1
452,grounded,0
452,hallucinated,1
454,grounded,0
454,hallucinated,1
455,grounded,0
455,hallucinated,1
456,grounded,0
456,hallucinated,1
458,grounded,0
458,hallucinated,1
459,grounded,0
459,hallucinated,1
460,grounded,0
460,hallucinated,1
463,grounded,0
463,hallucinated,1
464,grounded,0
464,hallucinated,1
466,grounded,0
466,hallucinated,1
468,grounded,0
468,hallucinated,1
469,grounded,0
469,hallucinated,1
470,grounded,0
470,hallucinated,1
471,grounded,0
471,hallucinated,1
472,grounded,0
472,hallucinated,1
473,grounded,0
473,hallucinated,1
475,grounded,0
475,hallucinated,1
476,grounded,0
476,hallucinated,1
477,grounded,0
477,hallucinated,1
478,grounded,0
478,hallucinated,1
479,grounded,0
479,hallucinated,1
480,grounded,0
480,hallucinated,1
481,grounded,0
481,hallucinated,1
482,grounded,0
482,hallucinated,1
484,grounded,0
484,hallucinated,1
485,grounded,0
485,hallucinated,1
486,grounded,0
486,hallucinated,1
488,grounded,0
488,hallucinated,1
489,grounded,0
489,hallucinated,1
490,grounded,0
490,hallucinated,1
491,grounded,0
491,hallucinated,1
492,grounded,0
492,hallucinated,1
493,grounded,0
493,hallucinated,1
494,grounded,0
494,hallucinated,1
495,grounded,0
495,hallucinated,1
497,grounded,0
497,hallucinated,1
498,grounded,0
498,hallucinated,1
499,grounded,0
499,hallucinated,1
501,grounded,0
501,hallucinated,1
502,grounded,0
502,hallucinated,1
503,grounded,0
503,hallucinated,1
504,grounded,0
504,hallucinated,1
505,grounded,0
505,hallucinated,1
506,grounded,0
506,hallucinated,1
507,grounded,0
507,hallucinated,1
508,grounded,0
508,hallucinated,1
512,grounded,0
512,hallucinated,1
514,grounded,0
514,hallucinated,1
515,grounded,0
515,hallucinated,1
516,grounded,0
516,hallucinated,1
517,grounded,0
517,hallucinated,1
519,grounded,0
519,hallucinated,1
520,grounded,0
520,hallucinated,1
521,grounded,0
521,hallucinated,1
522,grounded,0
522,hallucinated,1
523,grounded,0
523,hallucinated,1
524,grounded,0
524,hallucinated,1
525,grounded,0
525,hallucinated,1
526,grounded,0
526,hallucinated,1
527,grounded,0
527,hallucinated,1
528,grounded,0
528,hallucinated,1
529,grounded,0
529,hallucinated,1
530,grounded,0
530,hallucinated,1
531,grounded,0
531,hallucinated,1
534,grounded,0
534,hallucinated,1
535,grounded,0
535,hallucinated,1
536,grounded,0
536,hallucinated,1
537,grounded,0
537,hallucinated,1
539,grounded,0
539,hallucinated,1
540,grounded,0
540,hallucinated,1
541,grounded,0
541,hallucinated,1
542,grounded,0
542,hallucinated,1
544,grounded,0
544,hallucinated,1
545,grounded,0
545,hallucinated,1
546,grounded,0
546,hallucinated,1
547,grounded,0
547,hallucinated,1
548,grounded,0
548,hallucinated,1
549,grounded,0
549,hallucinated,1
551,grounded,0
551,hallucinated,1
552,grounded,0
552,hallucinated,1
553,grounded,0
553,hallucinated,1
555,grounded,0
555,hallucinated,1
556,grounded,0
556,hallucinated,1
557,grounded,0
557,hallucinated,1
558,grounded,0
558,hallucinated,1
559,grounded,0
559,hallucinated,1
560,grounded,0
560,hallucinated,1
561,grounded,0
561,hallucinated,1
562,grounded,0
562,hallucinated,1
564,grounded,0
564,hallucinated,1
565,grounded,0
565,hallucinated,1
566,grounded,0
566,hallucinated,1
569,grounded,0
569,hallucinated,1
570,grounded,0
570,hallucinated,1
571,grounded,0
571,hallucinated,1
572,grounded,0
572,hallucinated,1
573,grounded,0
573,hallucinated,1
574,grounded,0
574,hallucinated,1
575,grounded,0
575,hallucinated,1
578,grounded,0
578,hallucinated,1
579,grounded,0
579,hallucinated,1
580,grounded,0
580,hallucinated,1
581,grounded,0
581,hallucinated,1
583,grounded,0
583,hallucinated,1
584,grounded,0
584,hallucinated,1
585,grounded,0
585,hallucinated,1
587,grounded,0
587,hallucinated,1
588,grounded,0
588,hallucinated,1
589,grounded,0
589,hallucinated,1
593,grounded,0
593,hallucinated,1
595,grounded,0
595,hallucinated,1
596,grounded,0
596,hallucinated,1
597,grounded,0
597,hallucinated,1
598,grounded,0
598,hallucinated,1
599,grounded,0
599,hallucinated,1
600,grounded,0
600,hallucinated,1
601,grounded,0
601,hallucinated,1
602,grounded,0
602,hallucinated,1
604,grounded,0
604,hallucinated,1
606,grounded,0
606,hallucinated,1
607,grounded,0
607,hallucinated,1
608,grounded,0
608,hallucinated,1
609,grounded,0
609,hallucinated,1
610,grounded,0
610,hallucinated,1
612,grounded,0
612,hallucinated,1
613,grounded,0
613,hallucinated,1
614,grounded,0
614,hallucinated,1
615,grounded,0
615,hallucinated,1
616,grounded,0
616,hallucinated,1
618,grounded,0
618,hallucinated,1
619,grounded,0
619,hallucinated,1
622,grounded,0
622,hallucinated,1
626,grounded,0
626,hallucinated,1
627,grounded,0
627,hallucinated,1
628,grounded,0
628,hallucinated,1
629,grounded,0
629,hallucinated,1
630,grounded,0
630,hallucinated,1
631,grounded,0
631,hallucinated,1
632,grounded,0
632,hallucinated,1
633,grounded,0
633,hallucinated,1
634,grounded,0
634,hallucinated,1
635,grounded,0
635,hallucinated,1
636,grounded,0
636,hallucinated,1
638,grounded,0
638,hallucinated,1
639,grounded,0
639,hallucinated,1
640,grounded,0
640,hallucinated,1
641,grounded,0
641,hallucinated,1
642,grounded,0
642,hallucinated,1
643,grounded,0
643,hallucinated,1
644,grounded,0
644,hallucinated,1
645,grounded,0
645,hallucinated,1
646,grounded,0
646,hallucinated,1
648,grounded,0
648,hallucinated,1
649,grounded,0
649,hallucinated,1
650,grounded,0
650,hallucinated,1
651,grounded,0
651,hallucinated,1
652,grounded,0
652,hallucinated,1
654,grounded,0
654,hallucinated,1
656,grounded,0
656,hallucinated,1
657,grounded,0
657,hallucinated,1
658,grounded,0
658,hallucinated,1
659,grounded,0
659,hallucinated,1
660,grounded,0
660,hallucinated,1
661,grounded,0
661,hallucinated,1
662,grounded,0
662,hallucinated,1
663,grounded,0
663,hallucinated,1
664,grounded,0
664,hallucinated,1
665,grounded,0
665,hallucinated,1
666,grounded,0
666,hallucinated,1
667,grounded,0
667,hallucinated,1
669,grounded,0
669,hallucinated,1
670,grounded,0
670,hallucinated,1
671,grounded,0
671,hallucinated,1
672,grounded,0
672,hallucinated,1
674,grounded,0
674,hallucinated,1
675,grounded,0
675,hallucinated,1
677,grounded,0
677,hallucinated,1
678,grounded,0
678,hallucinated,1
679,grounded,0
679,hallucinated,1
680,grounded,0
680,hallucinated,1
681,grounded,0
681,hallucinated,1
682,grounded,0
682,hallucinated,1
684,grounded,0
684,hallucinated,1
685,grounded,0
685,hallucinated,1
686,grounded,0
686,hallucinated,1
687,grounded,0
687,hallucinated,1
688,grounded,0
688,hallucinated,1
689,grounded,0
689,hallucinated,1
690,grounded,0
690,hallucinated,1
691,grounded,0
691,hallucinated,1
692,grounded,0
692,hallucinated,1
693,grounded,0
693,hallucinated,1
694,grounded,0
694,hallucinated,1
695,grounded,0
695,hallucinated,1
697,grounded,0
697,hallucinated,1
698,grounded,0
698,hallucinated,1
699,grounded,0
699,hallucinated,1
701,grounded,0
701,hallucinated,1
702,grounded,0
702,hallucinated,1
703,grounded,0
703,hallucinated,1
704,grounded,0
704,hallucinated,1
706,grounded,0
706,hallucinated,1
707,grounded,0
707,hallucinated,1
709,grounded,0
709,hallucinated,1
714,grounded,0
714,hallucinated,1
716,grounded,0
716,hallucinated,1
717,grounded,0
717,hallucinated,1
718,grounded,0
718,hallucinated,1
719,grounded,0
719,hallucinated,1
720,grounded,0
720,hallucinated,1
721,grounded,0
721,hallucinated,1
722,grounded,0
722,hallucinated,1
723,grounded,0
723,hallucinated,1
725,grounded,0
725,hallucinated,1
726,grounded,0
726,hallucinated,1
727,grounded,0
